SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2516 SW 104th St,Seattle,WA,98146,695000,4,1.5,Shorewood,1870,6200,1954,1,372,,Active,,,https://www.redfin.com/WA/Seattle/2516-SW-104th-St-98146/home/180425,NWMLS,1944611,N,Y,47.5102169,-122.3651638
MLS Listing,,Single Family Residential,3921 183rd Street Ct E,Tacoma,WA,98446,499950,3,2.5,Tacoma,1499,5866,2002,1,334,40,Active,June-4-2022 02:00 PM,June-4-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/3921-183rd-St-Ct-E-98446/home/3004475,NWMLS,1944870,N,Y,47.0900865,-122.3766725
MLS Listing,,Single Family Residential,8502 Interlake Ave N,Seattle,WA,98103,935000,4,2.0,Seattle,1800,5129,1948,1,519,,Active,June-5-2022 11:00 AM,June-5-2022 01:00 PM,https://www.redfin.com/WA/Seattle/8502-Interlake-Ave-N-98103/home/104924,NWMLS,1939523,N,Y,47.6907241,-122.3399823
MLS Listing,,Townhouse,4312 26th Ave SW,Seattle,WA,98106,865000,3,3.5,Delridge,1696,1287,2017,1,510,,Active,,,https://www.redfin.com/WA/Seattle/4312-26th-Ave-SW-98106/home/113995611,NWMLS,1944234,N,Y,47.5649923,-122.3650271
MLS Listing,,Condo/Co-op,3710 27th Pl W #406,Seattle,WA,98199,499000,2,1.0,Seattle,931,,1968,1,536,578,Active,,,https://www.redfin.com/WA/Seattle/3710-27th-Pl-W-98199/unit-406/home/40617,NWMLS,1943983,N,Y,47.6532847,-122.3911234
MLS Listing,,Single Family Residential,1709 S Mason Ave,Tacoma,WA,98405,475000,3,1.0,Tacoma,1128,7995,1968,1,421,,Active,June-4-2022 02:00 PM,June-4-2022 04:00 PM,https://www.redfin.com/WA/Tacoma/1709-S-Mason-Ave-98405/home/2959114,NWMLS,1941522,N,Y,47.2444958,-122.4939631
MLS Listing,,Single Family Residential,150 S 84th St,Tacoma,WA,98444,300000,2,1.0,Fern Hill,1194,9000,1947,1,251,,Active,,,https://www.redfin.com/WA/Tacoma/150-S-84th-St-98444/home/2620621,NWMLS,1939822,N,Y,47.1806903,-122.4330749
MLS Listing,,Single Family Residential,1501 S Mason Ave,Tacoma,WA,98405,455000,3,1.0,Tacoma,1092,9750,1950,1,417,,Active,,,https://www.redfin.com/WA/Tacoma/1501-S-Mason-Ave-98405/home/2959050,NWMLS,1945520,N,Y,47.2468873,-122.4940703
MLS Listing,,Single Family Residential,3815 S Lucile St Unit A,Seattle,WA,98118,849999,3,2.0,Seattle,1047,4541,1940,1,812,,Active,June-3-2022 01:00 PM,June-3-2022 04:00 PM,https://www.redfin.com/WA/Seattle/3815-S-Lucile-St-98118/unit-A/home/179701965,NWMLS,1945891,N,Y,47.55251,-122.2848427
MLS Listing,,Townhouse,126 SW 116TH St Unit E32,Seattle,WA,98146,239000,1,1.0,Seattle,777,176636,1982,1,308,464,Active,,,https://www.redfin.com/WA/Seattle/126-SW-116th-St-98146/unit-E32/home/35173,NWMLS,1945515,N,Y,47.4997131,-122.3351822
MLS Listing,,Single Family Residential,201 150th Street Ct E,Tacoma,WA,98445,474950,3,2.0,Parkland,1289,10512,1994,1,368,,Active,,,https://www.redfin.com/WA/Tacoma/201-150th-St-Ct-E-98445/home/2864140,NWMLS,1945862,N,Y,47.1203746,-122.4292974
PAST SALE,,Townhouse,901 28th Ave S Unit D,Seattle,WA,98144,930000,3,2.0,Leschi,1496,1,2022,1,622,,Pending,,,https://www.redfin.com/WA/Seattle/901-28th-Ave-S-98144/unit-D/home/179738205,NWMLS,1945847,N,Y,47.5944979,-122.2969417
MLS Listing,,Single Family Residential,12210 Vickery Ave E,Tacoma,WA,98446,629000,2,1.0,Parkland,1245,97574,1910,1,505,,Active,June-4-2022 12:00 PM,June-4-2022 02:00 PM,https://www.redfin.com/WA/Tacoma/12210-Vickery-Ave-E-98446/home/2840103,NWMLS,1945649,N,Y,47.1454682,-122.3788313
MLS Listing,,Townhouse,6719 Carlton Ave S Unit A,Seattle,WA,98108,745000,2,2.0,Georgetown,1454,6250,2022,1,512,20,Active,June-3-2022 12:00 PM,June-3-2022 03:00 PM,https://www.redfin.com/WA/Seattle/6719-Carleton-Ave-S-98108/unit-A/home/179737572,NWMLS,1945818,N,Y,47.5418813,-122.3222302
MLS Listing,,Townhouse,1525 NW 57th St #105,Seattle,WA,98107,618000,2,1.5,Ballard,1090,,2000,1,567,583,Active,June-4-2022 11:00 AM,June-4-2022 01:00 PM,https://www.redfin.com/WA/Seattle/1525-NW-57th-St-98107/unit-105/home/37780,NWMLS,1945751,N,Y,47.6699149,-122.3774767
MLS Listing,,Townhouse,6721 Carlton Ave S Unit E,Seattle,WA,98108,765000,2,2.0,Georgetown,1473,6250,2022,1,519,20,Active,June-3-2022 12:00 PM,June-3-2022 03:00 PM,https://www.redfin.com/WA/Seattle/6721-Carleton-Ave-S-98108/unit-E/home/179737533,NWMLS,1945759,N,Y,47.5419262,-122.3212386
