SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,10236 C 41st Ave SW #3,Seattle,WA,98146,569000,2,1.5,Arbor Heights,860,1716,2022,19,662,37,Active,January-7-2023 12:00 PM,January-7-2023 02:00 PM,https://www.redfin.com/WA/Seattle/10236-41st-Ave-SW-98146/unit-3/home/183153037,NWMLS,2017699,N,Y,47.5109043,-122.3841009
MLS Listing,,Single Family Residential,1723 S L St,Tacoma,WA,98405,445400,3,2.5,Hilltop,1176,1176,2007,22,379,,Active,,,https://www.redfin.com/WA/Tacoma/1723-S-L-St-98405/home/12408667,NWMLS,2022782,N,Y,47.2448409,-122.4512996
MLS Listing,,Single Family Residential,509 119th St S,Tacoma,WA,98444,409000,5,2.0,Parkland,1786,7250,1977,23,229,,Active,,,https://www.redfin.com/WA/Parkland/509-119th-St-S-98444/home/2723793,NWMLS,2021837,N,Y,47.149218,-122.4387462
MLS Listing,,Single Family Residential,13220 Tule Lake Ave S,Tacoma,WA,98444,688000,4,2.5,Tacoma,2521,36700,1978,31,273,,Active,,,https://www.redfin.com/WA/Tacoma/13220-Tule-Lake-Ave-S-98444/home/2571775,NWMLS,2021264,N,Y,47.137161,-122.454785
MLS Listing,,Single Family Residential,7310 48th Ave E,Tacoma,WA,98443,459950,3,2.0,Puyallup,1856,12375,1966,36,248,,Active,January-7-2023 01:00 PM,January-7-2023 04:00 PM,https://www.redfin.com/WA/Tacoma/7310-48th-Ave-E-98443/home/2919859,NWMLS,2019547,N,Y,47.1904655,-122.3661027
MLS Listing,,Vacant Land,6601 N Marinera St,Tacoma,WA,98407,239000,,,Narrows,,15816,,38,,,Active,,,https://www.redfin.com/WA/Tacoma/6601-N-Marinera-St-98407/home/17910140,NWMLS,2019900,N,Y,47.2815299,-122.525972
MLS Listing,,Single Family Residential,6543 Chapin Pl N,Seattle,WA,98103,874000,4,1.0,Green Lake,1860,3000,1907,40,470,,Active,,,https://www.redfin.com/WA/Seattle/6543-Chapin-Pl-N-98103/home/307628,NWMLS,2018864,N,Y,47.6772337,-122.330269
MLS Listing,,Single Family Residential,10319 10th Avenue Ct S,Tacoma,WA,98444,475000,3,2.0,Parkland,1392,10739,2000,46,341,,Active,,,https://www.redfin.com/WA/Tacoma/10319-10th-Ave-Ct-S-98444/home/2870583,NWMLS,2016288,N,Y,47.1630893,-122.4479395
MLS Listing,,Single Family Residential,6405 Vickery Ave E,Tacoma,WA,98443,550000,2,1.0,East Tacoma,2504,190793,1941,51,220,,Active,,,https://www.redfin.com/WA/Tacoma/6405-Vickery-Ave-E-98443/home/2602312,NWMLS,2017610,N,Y,47.198485,-122.377077
MLS Listing,,Single Family Residential,1023 E 45th,Tacoma,WA,98404,429500,4,2.0,McKinley,1310,7500,1959,51,328,,Active,,,https://www.redfin.com/WA/Tacoma/1023-E-45th-St-98404/home/2918339,NWMLS,2017345,N,Y,47.2165015,-122.4168662
