SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-24-2022,Single Family Residential,3906 SW Elmgrove St,Seattle,WA,98136,827000,3,2.0,Gatewood,1100,4184,1965,,752,,Sold,,,https://www.redfin.com/WA/Seattle/3906-SW-Elmgrove-St-98136/home/470430,NWMLS,1971200,N,Y,47.5308605,-122.3824017
PAST SALE,August-25-2022,Condo/Co-op,901 NE 43rd St #109,Seattle,WA,98105,272000,0,1.0,University District,357,,1926,,762,349,Sold,,,https://www.redfin.com/WA/Seattle/901-NE-43rd-St-98105/unit-109/home/12536918,NWMLS,1956399,N,Y,47.6592804,-122.3185952
PAST SALE,August-29-2022,Single Family Residential,3714 E Superior St,Seattle,WA,98122,1490000,2,1.0,Leschi,1240,7500,1948,,1202,,Sold,,,https://www.redfin.com/WA/Seattle/3714-E-Superior-St-98122/home/141854,NWMLS,1974267,N,Y,47.60300405,-122.2864183
PAST SALE,August-24-2022,Single Family Residential,3005 S Adams St,Tacoma,WA,98409,460000,2,2.0,Tacoma,1454,5600,1908,,316,,Sold,,,https://www.redfin.com/WA/Tacoma/3005-S-Adams-St-98409/home/2940455,NWMLS,1967891,N,Y,47.2329182,-122.4858048
PAST SALE,August-26-2022,Single Family Residential,831 E 66th St,Tacoma,WA,98404,406800,3,1.0,Tacoma,1307,6000,1948,,311,,Sold,,,https://www.redfin.com/WA/Tacoma/831-E-66th-St-98404/home/2977704,NWMLS,1961713,N,Y,47.1974612,-122.4193229
PAST SALE,August-26-2022,Single Family Residential,7701 40th Avenue Ct E,Tacoma,WA,98443,595000,4,2.0,Tacoma,2244,12800,1981,,265,,Sold,,,https://www.redfin.com/WA/Tacoma/7701-40th-Ave-Ct-E-98443/home/2748102,NWMLS,1957842,N,Y,47.1873115,-122.3745689
PAST SALE,August-23-2022,Townhouse,8829 Delridge Way SW Unit B,Seattle,WA,98106,499000,3,2.5,Delridge,1010,661,2006,,494,,Sold,,,https://www.redfin.com/WA/Seattle/8829-Delridge-Way-SW-98106/unit-B/home/8190132,NWMLS,1971596,N,Y,47.5238802,-122.3610156
PAST SALE,August-26-2022,Townhouse,259 E Howe St,Seattle,WA,98102,891900,3,2.5,Eastlake,1410,1429,2001,,633,,Sold,,,https://www.redfin.com/WA/Seattle/259-E-Howe-St-98102/home/132227,NWMLS,1964980,N,Y,47.6357346,-122.3239256
PAST SALE,August-23-2022,Single Family Residential,1125 E 70th St,Tacoma,WA,98404,405000,3,2.0,Tacoma,1314,6600,1978,,308,,Sold,,,https://www.redfin.com/WA/Tacoma/1125-E-70th-St-98404/home/2985230,NWMLS,1965213,N,Y,47.1938167,-122.4142946
PAST SALE,August-29-2022,Single Family Residential,1718 S Proctor St,Tacoma,WA,98405,440000,3,1.0,Tacoma,2516,6490,1919,,175,,Sold,,,https://www.redfin.com/WA/Tacoma/1718-S-Proctor-St-98405/home/2451864,NWMLS,1959716,N,Y,47.2443912,-122.4893333
