SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-27-2022,Condo/Co-op,4877 Terrace Dr NE,Seattle,WA,98105,485000,2,1.0,Bryant,875,,1949,,554,489,Sold,,,https://www.redfin.com/WA/Seattle/4877-Terrace-Dr-NE-98105/home/17068402,NWMLS,1904412,N,Y,47.6644115,-122.2852834
PAST SALE,April-22-2022,Townhouse,2620 E Union St,Seattle,WA,98122,870000,3,3.5,Seattle,1690,1442,2003,,515,,Sold,,,https://www.redfin.com/WA/Seattle/2620-E-Union-St-98122/home/148390,NWMLS,1898678,N,Y,47.6132135,-122.2979507
PAST SALE,April-20-2022,Single Family Residential,3115 SW Roxbury St,Seattle,WA,98126,545000,2,1.0,Arbor Heights,670,6840,1942,,813,,Sold,,,https://www.redfin.com/WA/Seattle/3115-SW-Roxbury-St-98126/home/155158,NWMLS,1906142,N,Y,47.5172436,-122.3727922
PAST SALE,May-2-2022,Single Family Residential,918 N 71st St,Seattle,WA,98103,905000,3,2.0,Phinney Ridge,1520,3000,1900,,595,,Sold,,,https://www.redfin.com/WA/Seattle/918-N-71st-St-98103/home/300911,NWMLS,1906870,N,Y,47.6805078,-122.3463889
PAST SALE,May-6-2022,Single Family Residential,1224 N Fife St,Tacoma,WA,98406,575000,2,1.0,Tacoma,1672,5000,1904,,344,,Sold,,,https://www.redfin.com/WA/Tacoma/1224-N-Fife-St-98406/home/2743648,NWMLS,1902696,N,Y,47.2619424,-122.4707664
PAST SALE,April-13-2022,Single Family Residential,3020 S Washington St,Tacoma,WA,98409,425000,3,1.0,Tacoma,1336,5600,1913,,318,,Sold,,,https://www.redfin.com/WA/Tacoma/3020-S-Washington-St-98409/home/2940450,NWMLS,1916428,N,Y,47.2324808,-122.4851725
PAST SALE,April-29-2022,Condo/Co-op,522 W Mercer Pl #402,Seattle,WA,98119,625000,2,2.0,Queen Anne,1122,,1987,,557,910,Sold,,,https://www.redfin.com/WA/Seattle/522-W-Mercer-Pl-98119/unit-402/home/64895,NWMLS,1899186,N,Y,47.6250281,-122.3639043
PAST SALE,May-6-2022,Condo/Co-op,2349 Harbor Ave SW #705,Seattle,WA,98126,870000,2,2.0,Alki,1487,,1990,,585,777,Sold,,,https://www.redfin.com/WA/Seattle/2349-Harbor-Ave-SW-98126/unit-705/home/1606,NWMLS,1912069,N,Y,47.5814155,-122.3751064
PAST SALE,May-11-2022,Single Family Residential,625 113th St E,Tacoma,WA,98445,410000,3,3.0,Tacoma,1744,1972,2006,,235,118,Sold,,,https://www.redfin.com/WA/Tacoma/625-113th-St-E-98445/home/3039288,NWMLS,1907900,N,Y,47.1543165,-122.422761
PAST SALE,April-29-2022,Townhouse,809 Taylor Ave N #2,Seattle,WA,98109,625000,2,1.5,Queen Anne,1086,,2001,,576,460,Sold,,,https://www.redfin.com/WA/Seattle/809-Taylor-Ave-N-98109/unit-2/home/3437,NWMLS,1906974,N,Y,47.6266598,-122.3464896
PAST SALE,May-3-2022,Single Family Residential,1317 47th Ave E,Fife,WA,98424,560000,4,2.0,Fife,2172,9000,1935,,258,,Sold,,,https://www.redfin.com/WA/Fife/1317-47th-Ave-E-98424/home/2977495,NWMLS,1901847,N,Y,47.2448508,-122.3657991
PAST SALE,May-6-2022,Single Family Residential,2209 149th St E,Tacoma,WA,98445,535000,3,2.5,Parkland,1586,7004,1989,,337,,Sold,,,https://www.redfin.com/WA/Parkland/2209-149th-St-E-98445/home/2741704,NWMLS,1912330,N,Y,47.1216535,-122.3996675
PAST SALE,May-9-2022,Single Family Residential,240 S 78th St,Tacoma,WA,98408,510000,4,2.5,Fern Hill,1559,7700,2012,,327,,Sold,,,https://www.redfin.com/WA/Tacoma/240-S-78th-St-98408/home/2967249,NWMLS,1913177,N,Y,47.1858002,-122.4359859
PAST SALE,May-4-2022,Single Family Residential,2913 S 17th St,Tacoma,WA,98405,600000,4,2.0,Tacoma,2370,6612,1945,,253,,Sold,,,https://www.redfin.com/WA/Tacoma/2913-S-17th-St-98405/home/2914339,NWMLS,1907189,N,Y,47.2449658,-122.4745173
PAST SALE,April-14-2022,Single Family Residential,8144 12th Ave SW,Seattle,WA,98106,660000,3,1.5,Highland Park,1780,5182,1945,,371,,Sold,,,https://www.redfin.com/WA/Seattle/8144-12th-Ave-SW-98106/home/475730,NWMLS,1899489,N,Y,47.5288956,-122.3501438
PAST SALE,May-11-2022,Single Family Residential,7038 E B St,Tacoma,WA,98404,420000,3,2.0,Tacoma,1332,5000,1937,,315,,Sold,,,https://www.redfin.com/WA/Tacoma/7038-E-B-St-98404/home/125641645,NWMLS,1902228,N,Y,47.1924976,-122.4290266
PAST SALE,May-3-2022,Single Family Residential,3421 33rd Ave W,Seattle,WA,98199,1000000,4,2.0,Magnolia,1780,2788,1943,,562,,Sold,,,https://www.redfin.com/WA/Seattle/3421-33rd-Ave-W-98199/home/127187,NWMLS,1912137,N,Y,47.6511511,-122.3997887
PAST SALE,May-10-2022,Condo/Co-op,4806 42nd Ave SW #5,Seattle,WA,98116,577000,2,1.5,West Seattle,900,,1980,,641,250,Sold,,,https://www.redfin.com/WA/Seattle/4806-42nd-Ave-SW-98116/unit-5/home/16406,NWMLS,1913005,N,Y,47.5590306,-122.3851576
PAST SALE,April-26-2022,Single Family Residential,6325 17th Ave SW,Seattle,WA,98106,738500,3,2.0,West Seattle,970,5244,1980,,761,,Sold,,,https://www.redfin.com/WA/Seattle/6325-17th-Ave-SW-98106/home/160866,NWMLS,1904480,N,Y,47.5458028,-122.3563213
PAST SALE,April-29-2022,Condo/Co-op,138 SW 116th St Unit G-11,Seattle,WA,98146,375000,2,1.0,Seattle,903,,1982,,415,524,Sold,,,https://www.redfin.com/WA/Seattle/138-SW-116th-St-98146/unit-G-11/home/175620738,NWMLS,1907904,N,Y,47.4995526,-122.3355783
PAST SALE,April-29-2022,Single Family Residential,3545 SW 97th St,Seattle,WA,98126,585000,2,1.0,Arbor Heights,850,8460,1928,,688,,Sold,,,https://www.redfin.com/WA/Seattle/3545-SW-97th-St-98126/home/155114,NWMLS,1914005,N,Y,47.5163252,-122.3787121
PAST SALE,May-9-2022,Townhouse,10303 Evanston Ave N,Seattle,WA,98133,814500,3,3.5,Greenwood,1350,1206,2003,,603,,Sold,,,https://www.redfin.com/WA/Seattle/10303-Evanston-Ave-N-98133/home/98915,NWMLS,1913996,N,Y,47.7037669,-122.3510177
PAST SALE,April-19-2022,Condo/Co-op,7300 Woodlawn Ave NE #303,Seattle,WA,98115,482000,1,1.0,Green Lake,713,,1967,,676,458,Sold,,,https://www.redfin.com/WA/Seattle/7300-Woodlawn-Ave-NE-98115/unit-303/home/70540,NWMLS,1905063,N,Y,47.6814963,-122.3251025
PAST SALE,April-29-2022,Single Family Residential,710 S Monroe St,Seattle,WA,98108,510000,4,2.0,South Park,1440,5800,1946,,354,,Sold,,,https://www.redfin.com/WA/Seattle/710-S-Monroe-St-98108/home/476977,NWMLS,1896991,N,Y,47.5314516,-122.3248458
PAST SALE,May-11-2022,Condo/Co-op,1106 E Thomas St #3,Seattle,WA,98102,520000,1,1.0,Capitol Hill,752,964,1900,,691,515,Sold,,,https://www.redfin.com/WA/Seattle/1106-E-Thomas-St-98102/unit-3/home/28464,NWMLS,1908859,N,Y,47.6213202,-122.31738
PAST SALE,April-26-2022,Condo/Co-op,731 Broadway E #303,Seattle,WA,98102,725000,2,2.0,Broadway,1129,,1966,,642,826,Sold,,,https://www.redfin.com/WA/Seattle/731-Broadway-E-98102/unit-303/home/2118202,NWMLS,1911656,N,Y,47.6258644,-122.3216743
