SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-11-2022,Condo/Co-op,2550 Thorndyke Ave W #403,Seattle,WA,98199,499000,2,2.0,Magnolia,1010,,1969,,494,559,Sold,,,https://www.redfin.com/WA/Seattle/2550-Thorndyke-Ave-W-98199/unit-403/home/7948,NWMLS,1911267,N,Y,47.6424625,-122.3844688
PAST SALE,May-11-2022,Single Family Residential,625 113th St E,Tacoma,WA,98445,410000,3,3.0,Tacoma,1744,1972,2006,,235,118,Sold,,,https://www.redfin.com/WA/Tacoma/625-113th-St-E-98445/home/3039288,NWMLS,1907900,N,Y,47.1543165,-122.422761
PAST SALE,May-9-2022,Townhouse,10303 Evanston Ave N,Seattle,WA,98133,814500,3,3.5,Greenwood,1350,1206,2003,,603,,Sold,,,https://www.redfin.com/WA/Seattle/10303-Evanston-Ave-N-98133/home/98915,NWMLS,1913996,N,Y,47.7037669,-122.3510177
PAST SALE,May-11-2022,Single Family Residential,202 117th St E,Tacoma,WA,98445,475000,3,2.0,Parkland,1282,9600,1988,,371,17,Sold,,,https://www.redfin.com/WA/Tacoma/202-117th-St-E-98445/home/2726132,NWMLS,1912941,N,Y,47.150238,-122.4288023
PAST SALE,May-6-2022,Condo/Co-op,2349 Harbor Ave SW #705,Seattle,WA,98126,870000,2,2.0,Alki,1487,,1990,,585,777,Sold,,,https://www.redfin.com/WA/Seattle/2349-Harbor-Ave-SW-98126/unit-705/home/1606,NWMLS,1912069,N,Y,47.5814155,-122.3751064
PAST SALE,May-6-2022,Single Family Residential,1224 N Fife St,Tacoma,WA,98406,575000,2,1.0,Tacoma,1672,5000,1904,,344,,Sold,,,https://www.redfin.com/WA/Tacoma/1224-N-Fife-St-98406/home/2743648,NWMLS,1902696,N,Y,47.2619424,-122.4707664
PAST SALE,May-6-2022,Single Family Residential,1301 N Heatherwood W,Tacoma,WA,98406,700000,3,2.5,North Tacoma,2382,9600,1951,,294,,Sold,,,https://www.redfin.com/WA/Tacoma/1301-N-Heatherwood-W-98406/home/2922605,NWMLS,1895712,N,Y,47.2624445,-122.5333261
PAST SALE,May-9-2022,Single Family Residential,3800 Courtland Pl S,Seattle,WA,98118,950000,4,3.0,Mt Baker,1640,4080,1995,,579,,Sold,,,https://www.redfin.com/WA/Seattle/3800-Courtland-Pl-S-98118/home/171796,NWMLS,1901505,N,Y,47.5696274,-122.2869338
PAST SALE,May-10-2022,Condo/Co-op,4806 42nd Ave SW #5,Seattle,WA,98116,577000,2,1.5,West Seattle,900,,1980,,641,250,Sold,,,https://www.redfin.com/WA/Seattle/4806-42nd-Ave-SW-98116/unit-5/home/16406,NWMLS,1913005,N,Y,47.5590306,-122.3851576
PAST SALE,May-6-2022,Single Family Residential,2209 149th St E,Tacoma,WA,98445,535000,3,2.5,Parkland,1586,7004,1989,,337,,Sold,,,https://www.redfin.com/WA/Parkland/2209-149th-St-E-98445/home/2741704,NWMLS,1912330,N,Y,47.1216535,-122.3996675
